pool,task,task_type,candidate_count,frequency_level,selected_value,selected_count,selected_proportion,n_outer_units
Classical multiview,lipo,regression,8,candidate,rdkit2d__random_forest,10,0.6666666666666666,15
Classical multiview,lipo,regression,8,candidate,rdkit2d__linear,5,0.3333333333333333,15
Classical multiview,lipo,regression,8,learner_family,random_forest,10,0.6666666666666666,15
Classical multiview,lipo,regression,8,learner_family,linear,5,0.3333333333333333,15
Classical multiview,lipo,regression,8,representation,rdkit2d,15,1.0,15
Classical multiview,lipo,regression,16,candidate,multiview__lightgbm,15,1.0,15
Classical multiview,lipo,regression,16,learner_family,lightgbm,15,1.0,15
Classical multiview,lipo,regression,16,representation,multiview,15,1.0,15
Classical multiview,lipo,regression,32,candidate,multiview__lightgbm,13,0.8666666666666667,15
Classical multiview,lipo,regression,32,candidate,multiview__lightgbm_alt,2,0.1333333333333333,15
Classical multiview,lipo,regression,32,learner_family,lightgbm,13,0.8666666666666667,15
Classical multiview,lipo,regression,32,learner_family,lightgbm_alt,2,0.1333333333333333,15
Classical multiview,lipo,regression,32,representation,multiview,15,1.0,15
Homogeneous Morgan,lipo,regression,4,candidate,hom::order03,15,1.0,15
Homogeneous Morgan,lipo,regression,4,learner_family,linear,15,1.0,15
Homogeneous Morgan,lipo,regression,4,representation,morgan512,15,1.0,15
Homogeneous Morgan,lipo,regression,8,candidate,hom::order05,11,0.7333333333333333,15
Homogeneous Morgan,lipo,regression,8,candidate,hom::order03,3,0.2,15
Homogeneous Morgan,lipo,regression,8,candidate,hom::order07,1,0.0666666666666666,15
Homogeneous Morgan,lipo,regression,8,learner_family,bagging,12,0.8,15
Homogeneous Morgan,lipo,regression,8,learner_family,linear,3,0.2,15
Homogeneous Morgan,lipo,regression,8,representation,morgan512,15,1.0,15
Homogeneous Morgan,lipo,regression,16,candidate,hom::order14,15,1.0,15
Homogeneous Morgan,lipo,regression,16,learner_family,boosting,15,1.0,15
Homogeneous Morgan,lipo,regression,16,representation,morgan512,15,1.0,15
Homogeneous Morgan,lipo,regression,32,candidate,hom::order23,11,0.7333333333333333,15
Homogeneous Morgan,lipo,regression,32,candidate,hom::order22,4,0.2666666666666666,15
Homogeneous Morgan,lipo,regression,32,learner_family,boosting,15,1.0,15
Homogeneous Morgan,lipo,regression,32,representation,morgan512,15,1.0,15
Modern-augmented,lipo,regression,4,candidate,chemberta_mtr__linear,11,0.7333333333333333,15
Modern-augmented,lipo,regression,4,candidate,maccs__linear,4,0.2666666666666666,15
Modern-augmented,lipo,regression,4,learner_family,linear,15,1.0,15
