dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
tdc_hia_hou,classification,113,1,32,logreg_l2_c0.1,et_90_d12,et_90_d12,histgb_lr0.1,0.9429223744292236,0.951402478799739,0.951402478799739,0.9602087410306588,0.008480104370515495,0.008480104370515495,0.017286366601435232,0.4986251229520613
tdc_hia_hou,classification,113,2,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.807272106520997,0.7514510071696825,0.807272106520997,0.807272106520997,-0.05582109935131452,0.0,0.0,1.0
tdc_hia_hou,classification,113,2,8,logreg_l2_c0.1,et_90_d12,rf_90_d12,logreg_l2_c0.1,0.807272106520997,0.7514510071696825,0.7765448958688972,0.807272106520997,-0.05582109935131452,-0.030727210652099823,0.0,0.30952380952380953
tdc_hia_hou,classification,113,2,16,logreg_l2_c0.1,et_90_d12,et_90_d12,logreg_l2_c0.1,0.807272106520997,0.7514510071696825,0.7514510071696825,0.807272106520997,-0.05582109935131452,-0.05582109935131452,0.0,0.5852941176470587
tdc_hia_hou,classification,113,2,32,logreg_l2_c0.1,et_90_d12,et_90_d12,logreg_l2_c0.1,0.807272106520997,0.7514510071696825,0.7514510071696825,0.807272106520997,-0.05582109935131452,-0.05582109935131452,0.0,0.5538856304985337
tdc_hia_hou,classification,113,3,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c1,0.8827537593984963,0.9170582706766918,0.8827537593984963,0.8900375939849624,0.03430451127819545,0.0,0.007283834586466087,0.39999999999999997
tdc_hia_hou,classification,113,3,8,logreg_l2_c0.1,et_90_d12,rf_90_d12,rf_120_d20_leaf2,0.8827537593984963,0.9170582706766918,0.9224624060150376,0.9262218045112782,0.03430451127819545,0.03970864661654128,0.043468045112781906,-0.047905050476530354
tdc_hia_hou,classification,113,3,16,histgb_lr0.1,et_90_d12,et_90_d12,et_60_sqrt,0.8940319548872181,0.9170582706766918,0.9170582706766918,0.93703007518797,0.023026315789473673,0.023026315789473673,0.042998120300751896,-0.011773365954105204
tdc_hia_hou,classification,113,3,32,histgb_lr0.1,et_90_d12,et_90_d12,et_60_sqrt,0.8940319548872181,0.9170582706766918,0.9170582706766918,0.93703007518797,0.023026315789473673,0.023026315789473673,0.042998120300751896,-0.0742370088352978
tdc_hia_hou,classification,127,1,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9305555555555556,0.941193853427896,0.9305555555555556,0.9305555555555556,0.010638297872340385,0.0,0.0,1.0
tdc_hia_hou,classification,127,1,8,rf_90_d12,et_90_d12,logreg_l2_c0.1,rf_90_d12,0.935579196217494,0.941193853427896,0.9305555555555556,0.935579196217494,0.0056146572104019965,-0.005023640661938389,0.0,0.28571428571428575
tdc_hia_hou,classification,127,1,16,rf_90_d12,et_90_d12,et_90_d12,histgb_lr0.1,0.935579196217494,0.941193853427896,0.941193853427896,0.9536052009456264,0.0056146572104019965,0.0056146572104019965,0.018026004728132428,0.2058823529411765
tdc_hia_hou,classification,127,1,32,rf_90_d12,et_90_d12,et_90_d12,histgb_lr0.1,0.935579196217494,0.941193853427896,0.941193853427896,0.9536052009456264,0.0056146572104019965,0.0056146572104019965,0.018026004728132428,-0.12116213046946132
tdc_hia_hou,classification,127,2,4,logreg_l2_c1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9559183673469388,0.9643537414965986,0.9627210884353742,0.9627210884353742,0.00843537414965978,0.006802721088435382,0.006802721088435382,0.7999999999999999
tdc_hia_hou,classification,127,2,8,rf_120_d20_leaf2,et_90_d12,logreg_l2_c0.1,rf_90_leaf2,0.9676190476190476,0.9643537414965986,0.9627210884353742,0.9700680272108844,-0.0032653061224490187,-0.004897959183673417,0.002448979591836764,0.6190476190476191
tdc_hia_hou,classification,127,2,16,rf_120_d20_leaf2,et_90_d12,et_90_d12,et_60_sqrt,0.9676190476190476,0.9643537414965986,0.9643537414965986,0.9748299319727892,-0.0032653061224490187,-0.0032653061224490187,0.00721088435374162,0.5529411764705882
tdc_hia_hou,classification,127,2,32,rf_120_d20_leaf2,et_90_d12,et_90_d12,et_60_sqrt,0.9676190476190476,0.9643537414965986,0.9643537414965986,0.9748299319727892,-0.0032653061224490187,-0.0032653061224490187,0.00721088435374162,0.5161763379757991
tdc_hia_hou,classification,127,3,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c10,0.8680871828236825,0.8905335068314899,0.8680871828236825,0.8880936890045543,0.02244632400780744,0.0,0.020006506180871853,0.19999999999999998
tdc_hia_hou,classification,127,3,8,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,rf_60_sqrt,0.8680871828236825,0.8905335068314899,0.8680871828236825,0.9056603773584904,0.02244632400780744,0.0,0.0375731945348079,-0.4285714285714286
