dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
clintox,23,1,32,pr_auc,1,-0.0014691902169214899,0.06960087047374297,0.034482758620689724,-0.03413706680494333
clintox,23,2,4,pr_auc,1,-0.03852699530516435,-0.0898000270412308,-0.125,-0.05076291079812212
clintox,23,2,8,pr_auc,1,-0.011120892018779416,-0.022165066146541623,-0.02499999999999991,-0.02893192488262908
clintox,23,2,16,pr_auc,1,-0.045745305164319294,-0.031235649694334955,0.0,-0.06572769953051649
clintox,23,2,32,pr_auc,1,-0.045745305164319294,-0.031235649694334955,0.0,-0.06572769953051649
clintox,23,3,4,pr_auc,1,-0.04950961497280393,-0.0147416734527,-0.046511627906976716,-0.03430553771039435
clintox,23,3,8,pr_auc,1,-0.08788384941539251,-0.0426428823518904,0.09302325581395354,-0.0777977643582165
clintox,23,3,16,pr_auc,1,-0.011263865690179453,0.008113310300225884,0.0,-0.06998158379373842
clintox,23,3,32,pr_auc,1,-0.011263865690179453,0.008113310300225884,0.0,-0.06998158379373842
clintox,37,1,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,37,1,8,pr_auc,1,-0.009760992519613265,0.003537039654488816,-0.06896551724137934,-0.029191753329684378
clintox,37,1,16,pr_auc,0,0.0,0.0,0.0,0.0
clintox,37,1,32,pr_auc,1,0.02618135376756059,0.005416743202564134,0.0,-0.002645502645502562
clintox,37,2,4,pr_auc,1,-0.025767543859649078,-0.05448889051232503,-0.026315789473684292,-0.013157894736842146
clintox,37,2,8,pr_auc,1,-0.020102339181286455,0.0923436088839103,-0.052631578947368474,-0.014741715399610111
clintox,37,2,16,pr_auc,1,0.010081627680312066,0.07934096455115291,0.1578947368421052,0.026864035087719174
clintox,37,2,32,pr_auc,0,0.0,0.0,0.0,0.0
clintox,37,3,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,37,3,8,pr_auc,0,0.0,0.0,0.0,0.0
clintox,37,3,16,pr_auc,0,0.0,0.0,0.0,0.0
clintox,37,3,32,pr_auc,1,-0.016049382716049276,0.014782215373669583,-0.13333333333333341,-0.03709677419354851
clintox,53,1,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,53,1,8,pr_auc,0,0.0,0.0,0.0,0.0
clintox,53,1,16,pr_auc,1,-0.010009267840593083,0.06360645082817279,0.07692307692307687,-0.09045412418906396
clintox,53,1,32,pr_auc,0,0.0,0.0,0.0,0.0
clintox,53,2,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,53,2,8,pr_auc,0,0.0,0.0,0.0,0.0
clintox,53,2,16,pr_auc,1,0.003429522302041299,0.007452318719425199,0.023255813953488413,-0.005824100004058641
clintox,53,2,32,pr_auc,1,-0.014895085027801347,0.016306357353539414,0.06976744186046513,-0.06459271886034323
clintox,53,3,4,pr_auc,1,-0.03973684210526318,-0.0590465932250728,-0.09999999999999998,-0.021052631578947434
clintox,53,3,8,pr_auc,1,0.008508771929824355,-0.0660982761539183,-0.06666666666666665,0.03245614035087718
clintox,53,3,16,pr_auc,1,-0.015000000000000013,-0.019743341402162468,0.10000000000000009,-0.0052631578947368585
clintox,53,3,32,pr_auc,1,0.03692982456140359,0.06549405914749812,0.13333333333333341,0.05482456140350889
clintox,71,1,4,pr_auc,0,0.0,0.0,0.0,0.0
