task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
tdc_caco2_wang,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.7466666666666667,5,0
tdc_caco2_wang,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.9339643903538425,5,0
tdc_caco2_wang,16,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.10359053588336375,5,0
tdc_caco2_wang,16,Classical multiview - Homogeneous Morgan,selected_model_gain,0.10594934681020118,5,0
tdc_caco2_wang,16,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,-0.007835993212106204,0,5
tdc_caco2_wang,16,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.24615384615384617,3,1
tdc_caco2_wang,16,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.10370085149348088,3,2
tdc_caco2_wang,16,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.087217670689588,5,0
tdc_caco2_wang,16,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.07646742616451496,5,0
tdc_caco2_wang,16,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,8.582426139110144e-05,3,2
tdc_caco2_wang,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.1641025641025641,3,1
tdc_caco2_wang,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.07893742480039223,1,4
tdc_caco2_wang,32,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.10494932720556097,5,0
tdc_caco2_wang,32,Classical multiview - Homogeneous Morgan,selected_model_gain,0.10191480389915553,5,0
tdc_caco2_wang,32,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.005988158336856553,4,1
tdc_caco2_wang,32,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,-0.1471264367816092,1,2
tdc_caco2_wang,32,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.008102531725673262,3,2
tdc_caco2_wang,32,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.09912047908823782,5,0
tdc_caco2_wang,32,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.10566566070264127,5,0
tdc_caco2_wang,32,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,-0.006067003655544956,2,3
tdc_caco2_wang,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.5149425287356322,4,0
tdc_caco2_wang,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.3973662393423568,4,0
